race_and_hispanic_origin,age_group,population
Non-Hispanic White,All Ages,201068278
Non-Hispanic White,Under 1 year,1994440
Non-Hispanic White,1-4 years,8244087
Non-Hispanic White,5-14 years,21483759
Non-Hispanic White,15-24 years,23544616
Non-Hispanic White,25-34 years,25657465
Non-Hispanic White,35-44 years,23709326
Non-Hispanic White,45-54 years,26232985
Non-Hispanic White,55-64 years,29852243
Non-Hispanic White,65-74 years,23091706
Non-Hispanic White,75-84 years,12034203
Non-Hispanic White,85 years and over,5223448
Non-Hispanic Black,All Ages,42934826
Non-Hispanic Black,Under 1 year,591754
Non-Hispanic Black,1-4 years,2447225
Non-Hispanic Black,5-14 years,6217144
Non-Hispanic Black,15-24 years,6500474
Non-Hispanic Black,25-34 years,6658091
Non-Hispanic Black,35-44 years,5414553
Non-Hispanic Black,45-54 years,5287236
Non-Hispanic Black,55-64 years,4974223
Non-Hispanic Black,65-74 years,3006666
Non-Hispanic Black,75-84 years,1329955
Non-Hispanic Black,85 years and over,507505
Non-Hispanic American Indian or Alaska Native,All Ages,2745839
Non-Hispanic American Indian or Alaska Native,Under 1 year,38260
Non-Hispanic American Indian or Alaska Native,1-4 years,156473
Non-Hispanic American Indian or Alaska Native,5-14 years,409393
Non-Hispanic American Indian or Alaska Native,15-24 years,419255
Non-Hispanic American Indian or Alaska Native,25-34 years,418797
Non-Hispanic American Indian or Alaska Native,35-44 years,333378
Non-Hispanic American Indian or Alaska Native,45-54 years,326384
Non-Hispanic American Indian or Alaska Native,55-64 years,327436
Non-Hispanic American Indian or Alaska Native,65-74 years,202493
Non-Hispanic American Indian or Alaska Native,75-84 years,85020
Non-Hispanic American Indian or Alaska Native,85 years and over,28950
Non-Hispanic Asian or Pacific Islander,All Ages,20546745
Non-Hispanic Asian or Pacific Islander,Under 1 year,216177
Non-Hispanic Asian or Pacific Islander,1-4 years,949886
Non-Hispanic Asian or Pacific Islander,5-14 years,2429718
Non-Hispanic Asian or Pacific Islander,15-24 years,2692199
Non-Hispanic Asian or Pacific Islander,25-34 years,3534255
Non-Hispanic Asian or Pacific Islander,35-44 years,3233519
Non-Hispanic Asian or Pacific Islander,45-54 years,2759529
Non-Hispanic Asian or Pacific Islander,55-64 years,2228301
Non-Hispanic Asian or Pacific Islander,65-74 years,1508767
Non-Hispanic Asian or Pacific Islander,75-84 years,708822
Non-Hispanic Asian or Pacific Islander,85 years and over,285572
Hispanic or Latino,All Ages,59871746
Hispanic or Latino,Under 1 year,1007577
Hispanic or Latino,1-4 years,4164396
Hispanic or Latino,5-14 years,10535155
Hispanic or Latino,15-24 years,9814256
Hispanic or Latino,25-34 years,9429166
Hispanic or Latino,35-44 years,8587112
Hispanic or Latino,45-54 years,7025565
Hispanic or Latino,55-64 years,4890433
Hispanic or Latino,65-74 years,2682684
Hispanic or Latino,75-84 years,1236374
Hispanic or Latino,85 years and over,499028
