jurisdiction_of_occurrence,all_causes_excess_upto_03/07/2020_per_100k,all_causes_excess_upto_03/14/2020_per_100k,all_causes_excess_upto_03/21/2020_per_100k,all_causes_excess_upto_03/28/2020_per_100k,all_causes_excess_upto_04/04/2020_per_100k,all_causes_excess_upto_04/11/2020_per_100k,all_causes_excess_upto_04/18/2020_per_100k,all_causes_excess_upto_04/25/2020_per_100k,all_causes_excess_upto_05/02/2020_per_100k,all_causes_excess_upto_05/09/2020_per_100k,all_causes_excess_upto_05/16/2020_per_100k,all_causes_excess_upto_05/23/2020_per_100k,all_causes_excess_upto_05/30/2020_per_100k,all_causes_excess_upto_06/06/2020_per_100k,all_causes_excess_upto_06/13/2020_per_100k,all_causes_excess_upto_06/20/2020_per_100k,all_causes_excess_upto_06/27/2020_per_100k,all_causes_excess_upto_07/04/2020_per_100k,all_causes_excess_upto_07/11/2020_per_100k,all_causes_excess_upto_07/18/2020_per_100k,all_causes_excess_upto_07/25/2020_per_100k,all_causes_excess_upto_08/01/2020_per_100k
Alabama,1.8256049895312705,1.6864480436303975,2.281845766836661,3.0774966204567624,4.478594477051374,7.182825482835381,10.078205165766825,12.952288522468919,15.74900644713009,19.27022803961208,23.011241377797216,26.680680962597943,30.7313362554935,34.1431238953123,37.77783582889741,41.862768063181925,43.99724868595042,48.298885246241525,52.80850484000943,58.185099543626976,64.51919563084142,72.12823250851622
Alaska,0.35738040205737126,-0.29433878729569535,1.4008285184364493,-0.020900406799384985,0.392797550935036,2.7453394811958503,2.477600935139948,2.9122880982033688,0.587949345045887,1.3282861657562075,1.446576712285907,1.449159473528856,2.2365958281182645,4.642382640123474,3.82580768231613,4.784245153225123,5.417067985802434,6.400591560617296,6.321770662277325,7.4512092495059,8.080959408150557,9.469452831591584
Arizona,1.327207625236951,2.812602823157098,3.97661375810289,4.889328903704606,6.612407173261959,8.59028892025167,11.200150176817036,13.232714182848106,16.205627395987435,19.722195200335868,23.62016431565136,26.298732054797686,29.103565427321794,31.649416705197872,35.45249716459752,40.325361423601024,46.448279916686616,53.20517764910292,62.36495673504202,74.3148049130496,86.60650587665006,96.99987666237638
Arkansas,0.5798816071199143,2.291856374342591,2.1972975703354085,3.0413070447278048,3.3110480397964177,3.2343059147243416,3.7519873865794713,5.36262100266468,6.004400916942483,7.223044157271222,9.66896645710787,9.016990294433993,10.76017062329445,11.6361475565465,13.958227822019314,15.866276897624264,20.570584841043708,23.496200703967414,27.077678401861238,29.58422429551623,33.03799039897952,38.32807000791745
California,0.07057751103195031,0.516119075803941,0.39797091480263624,1.3799168658436576,2.5475294050472677,4.323324746067749,6.5864227586828,9.242850701247495,11.310031237152007,13.107197143440779,14.98494986435097,17.02123847022596,18.4880844886891,20.148544801845894,21.644210978571962,23.305725643468914,24.711719716406506,26.828552384156445,29.641532855928663,32.72283704699329,36.38738236053677,39.931089477265495
Colorado,1.1996396599792976,1.5569273374073431,1.9494041390399461,3.4121855642106507,4.735916550288835,8.02107453752119,13.207188302669842,18.995650705696157,24.50568401494509,28.707486949143068,31.137039898556253,33.61188614781879,35.40858188753712,37.56060264467383,39.05196887913184,40.44362898502338,42.85509560174114,45.892836773157846,47.1191147143825,48.93453155805958,50.673818314477785,52.63425624649204
Connecticut,-0.47174459274314035,-0.7988821974135355,-0.39845488973713294,0.0606025968086677,3.512846554206504,10.029938443264268,27.41211723997453,49.04444259157444,69.32493525419338,85.77737629036703,98.8477071858721,109.90737374192963,116.76126417304997,122.10514619087502,124.09688578054849,126.15322314590371,126.44865358591828,127.23216934526353,126.28888137798361,127.04527025469956,127.14390238955508,127.94274221656961
Delaware,-1.5006223678843837,-0.09996506436708397,0.1292686153727329,3.7909721107395344,2.768383764237316,7.069287303435921,11.31954502559389,15.472054855193456,27.60747681630202,36.54557012185188,47.267709033589455,58.98031996759974,64.16722937098743,70.89137856020555,71.78424925691677,74.90346716528978,74.52081729766043,77.20127734208224,79.42385816169754,81.76153636396509,82.66289719696297,86.95036420511113
District of Columbia,2.0934140830560333,0.8252235219636941,0.31842732801377915,1.3595682635677835,2.311416876332956,7.467012751808761,18.413856893807434,30.058477555801552,46.42069202762659,60.22493276040275,75.53325358192258,86.99232376823836,97.27828260090119,105.69335355991561,110.86765808093259,116.39378656580742,119.15930269321704,121.41579152038108,123.02690493967891,127.16229963143758,127.64735748191423,129.59693154682623
Florida,0.5025058141063876,1.5194573579659953,2.268869882142681,2.7434622470772116,3.8167852782331755,5.353522682453017,7.295422929068057,9.082599323610863,11.75451614081079,13.309032892600035,15.276297610707385,17.05783387513323,19.49616545485576,20.962564990414183,22.803951299393496,24.784981032103783,27.430089633864775,30.74556528488346,34.60801118908295,40.56444518686523,48.59344494668648,57.68218756834422
Georgia,1.6988469652115898,1.9168209585878455,2.5976651270194795,3.580912001860894,5.235522264769147,8.994956608939326,12.777265998860933,16.265851176266118,20.003752789691585,23.286507107843796,26.830112060115876,30.247840999913638,33.560862233341254,35.382465325327594,36.998193005551094,38.412116771541754,39.90118389937251,42.20144507436409,45.06584837523174,48.513026276004084,53.471176991975156,58.37782165552105
Hawaii,0.5514020760108315,0.8502743011469429,1.2910202405994182,0.8221057879454715,1.3588260864560184,2.2749591688644557,2.5963968655572094,3.364785161584072,2.610887265125777,3.073271664756175,2.3927826557993095,3.0404680946611187,2.851593025125031,2.4914806862720074,3.1492128457405135,1.285204137417489,2.766978054333949,3.9081314553739697,3.943658696883653,4.195704555382752,4.343123948622415,4.649570864021975
