jurisdiction_of_occurrence,non_covid_excess_upto_03/07/2020_per_100k,non_covid_excess_upto_03/14/2020_per_100k,non_covid_excess_upto_03/21/2020_per_100k,non_covid_excess_upto_03/28/2020_per_100k,non_covid_excess_upto_04/04/2020_per_100k,non_covid_excess_upto_04/11/2020_per_100k,non_covid_excess_upto_04/18/2020_per_100k,non_covid_excess_upto_04/25/2020_per_100k,non_covid_excess_upto_05/02/2020_per_100k,non_covid_excess_upto_05/09/2020_per_100k,non_covid_excess_upto_05/16/2020_per_100k,non_covid_excess_upto_05/23/2020_per_100k,non_covid_excess_upto_05/30/2020_per_100k,non_covid_excess_upto_06/06/2020_per_100k,non_covid_excess_upto_06/13/2020_per_100k,non_covid_excess_upto_06/20/2020_per_100k,non_covid_excess_upto_06/27/2020_per_100k,non_covid_excess_upto_07/04/2020_per_100k,non_covid_excess_upto_07/11/2020_per_100k,non_covid_excess_upto_07/18/2020_per_100k,non_covid_excess_upto_07/25/2020_per_100k,non_covid_excess_upto_08/01/2020_per_100k
Alabama,1.8256049895312705,1.6864480436303975,2.281845766836661,3.0774966204567624,4.050301438954708,5.836761648817289,7.1617335253942915,8.363434542861786,9.589744661168517,11.581348260448125,13.180896408149934,15.075979120835903,17.57662151395305,18.969313402744714,20.931642997095224,23.48695723817736,23.96945042828729,26.394755583583482,28.57935582768377,31.508561742177516,34.436708431194674,37.31412698323011
Alaska,0.35738040205737126,-0.29433878729569535,1.4008285184364493,-0.020900406799384985,0.392797550935036,2.7453394811958503,2.477600935139948,2.9122880982033688,0.587949345045887,1.3282861657562075,1.446576712285907,1.449159473528856,2.2365958281182645,4.642382640123474,3.82580768231613,4.784245153225123,5.417067985802434,6.400591560617296,6.321770662277325,7.4512092495059,8.080959408150557,9.469452831591584
Arizona,1.327207625236951,2.812602823157098,3.97661375810289,4.889328903704606,6.2139853085294785,7.436239381026556,8.83709635840371,9.674394770237342,11.28717816928993,13.498570899514721,15.720420445955643,16.8877328361167,18.483561929452595,19.683022078232707,21.74128954380391,24.525873684209593,28.024703344057126,31.566748788632044,35.97294286776294,41.52056384006929,46.915444938300624,51.2500556430951
Arkansas,0.5798816071199143,2.291856374342591,2.1972975703354085,3.0413070447278048,3.3110480397964177,2.8698024545924046,2.9898437881217848,4.235973944075056,4.48011372002711,5.102296752867224,6.885485488827624,6.2335093261537455,7.479639482107015,7.891702920645693,9.584186300436068,10.398724995645207,13.910112524087403,15.576534615646237,18.031365254950437,19.146170664465306,20.909966180044158,24.01302502819047
California,0.07057751103195031,0.516119075803941,0.39797091480263624,1.2761515069571177,2.12234451985364,3.2046835600226107,4.536424205070668,5.879334555876479,6.6583061241407755,7.131830989023196,7.688473530938902,8.51247904152968,8.80753576329848,9.351885752822003,9.782058854152135,10.405919930183686,10.764136964608412,11.744612409430147,13.071976645436534,14.419640084372386,16.0215325322444,17.269747441409912
Colorado,1.1996396599792976,1.5569273374073431,1.9494041390399461,3.2211714249967676,3.78084585421942,4.895388623112195,6.591153117170801,8.976090857840653,10.926315209012673,12.123986681028674,12.348194568608847,13.416482156387332,13.823984156368331,14.829920078221745,15.48777006883736,16.0459139308865,17.93643289520276,20.713700240418714,21.5579499032156,23.008703390211632,24.22704249422834,25.735992460827962
Connecticut,-0.47174459274314035,-0.7988821974135355,-0.39845488973713294,-0.21987973182294038,1.97019374673266,2.961783761747746,6.768617852688178,10.281784774686203,12.555311939155903,13.945851927812203,14.73105682925284,15.609214855982996,15.31080590699732,15.381620146548137,14.568536449905533,14.717593980565818,14.059384503232916,13.917308578093863,12.525248885003379,12.832866035908745,12.566871143543171,13.029132176199779
Delaware,-1.5006223678843837,-0.09996506436708397,0.1292686153727329,3.7909721107395344,2.768383764237316,7.069287303435921,8.854882129861453,8.899620466573625,14.8733851883511,16.622878381348023,20.77258290446577,24.885816576634383,25.759565912490313,27.75977788488793,26.496068547833268,27.97217785905133,27.589527991421974,30.26998803584378,32.49256885545909,34.830247057726645,35.73160789072452,40.019074898872674
District of Columbia,2.0934140830560333,0.8252235219636941,0.31842732801377915,1.3595682635677835,2.311416876332956,3.924676878856762,9.628863928886478,12.913571930713877,16.523377259911726,19.700610373831893,22.823295792396845,24.222132099528952,27.9901929259601,30.45413961841516,30.527480482381264,31.8028059197137,31.025986174171326,30.73199317280992,30.50109193817272,34.636486629931376,33.70461013122722,35.654184196139205
Florida,0.5025058141063876,1.5194573579659953,2.268869882142681,2.668966502949234,3.3185949893773246,3.877575751917458,4.483208588236897,4.892213716412114,6.209239187284447,6.46939238485008,7.244725196909786,8.006600963583935,9.527703693730738,10.09549831574543,11.15002332737298,12.376783650787491,14.132599307020747,16.200271243895806,18.18635559287186,20.88360078505511,24.00053741643783,27.297235932145295
Georgia,1.6988469652115898,1.9168209585878455,2.5976651270194795,3.2135912310862906,3.9828642516147297,5.783254484987024,7.653612170620312,8.825250947754922,10.368646417834682,11.287361929206755,13.116803284530686,14.933390403003255,16.918405772861156,17.61920958991986,18.293089139952066,18.7369093318457,19.491334918127247,20.727307706002662,22.42381932543311,24.07206729754009,26.600249837617636,28.38937719023036
Hawaii,0.5514020760108315,0.8502743011469429,1.2910202405994182,0.8221057879454715,1.3588260864560184,2.2749591688644557,2.5963968655572094,3.364785161584072,2.610887265125777,3.073271664756175,2.3927826557993095,3.0404680946611187,2.851593025125031,2.4914806862720074,3.1492128457405135,1.285204137417489,2.766978054333949,3.9081314553739697,3.943658696883653,4.195704555382752,4.343123948622415,4.649570864021975
Idaho,-0.08430124902220375,-0.29286742219932815,-0.3474616871988333,0.2960400437207873,3.9474936812113084,2.9630004681564492,3.169424272384094,2.324648631899413,1.5272906054745938,0.16654632552525706,2.4025458053945163,1.9115800595790822,0.8332353522680525,1.2977127982249013,2.3033499044253123,3.494923884447942,4.232062530679458,5.822467393815544,6.643365939001564,7.284395109355013,9.330786842028058,11.109033337670235
Illinois,0.8239616416993729,2.0061130628590282,2.999740850905986,4.248523020921652,5.537330502692743,7.698415604930963,10.648753931664828,13.377497489212821,16.47156818066948,18.54753140481882,20.84813576015896,22.819249946541554,24.191014147264934,25.64734738106358,27.251503972028466,28.20049890563508,29.177115833248994,30.25292471298111,31.47737218063399,33.10994123154414,34.07173060524768,34.78314639228783
Indiana,1.4747653757607986,1.8690826538545777,2.874042063467737,2.874601767349367,4.483164881585365,6.463781720379191,8.10694407745708,7.869768736779845,9.154662099948693,9.43130196172076,11.048390054631422,13.131286417790378,14.04723873751564,15.231343450773586,16.025576037867054,17.525983977092793,18.715941333965663,20.456455884313495,21.8459960157346,23.316992513975514,24.992979761648975,26.138968179954812
Iowa,1.3070365571737008,2.183711882191978,2.9884280877943663,2.6653356204221703,3.062728030723497,2.9697556762758475,2.6564886757674677,3.67118297015437,2.1982552309152332,3.1542023758767943,5.306530810102095,6.120826937362097,5.528900787745543,5.596356647936776,5.2645181022486245,5.222420555700672,5.487516271476178,5.028897654347453,6.35314092949821,6.377103232902988,7.831267537414844,9.50722841636185
Kansas,0.4362856906362379,1.7581544970328595,1.4806400542069555,0.8941676502899211,1.028995216741232,1.6789517489222798,1.5741002130546031,2.492603863473761,3.9054653923432983,4.618049445169559,4.039548266369434,5.260484243275642,7.051394036724171,8.128472270829846,7.8659260759356355,9.361463417473324,9.627851678654139,10.436539923925274,12.604492353769958,13.001372829736013,13.473649262629014,14.852625583249608
