Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1118.4,1076
2020-01-13T05:00:00.000Z,1141,1123
2020-01-20T05:00:00.000Z,1101.8,1035
2020-01-27T05:00:00.000Z,1094.2,1050
2020-02-03T05:00:00.000Z,1098.2,1021
2020-02-10T05:00:00.000Z,1099.8,1111
2020-02-17T05:00:00.000Z,1087.8,1086
2020-02-24T05:00:00.000Z,1065.2,1088
2020-03-03T05:00:00.000Z,1065.6,1154
2020-03-10T04:00:00.000Z,1054,1047
2020-03-17T04:00:00.000Z,1051,1075
2020-03-24T04:00:00.000Z,1011.4,1045
2020-03-31T04:00:00.000Z,995.8,1053
2020-04-07T04:00:00.000Z,1014.8,1132
2020-04-14T04:00:00.000Z,983.6,1114
2020-04-21T04:00:00.000Z,991.6,1120
2020-04-28T04:00:00.000Z,990.4,1108
2020-05-05T04:00:00.000Z,968,1104
2020-05-12T04:00:00.000Z,972.2,1126
2020-05-19T04:00:00.000Z,955.8,1069
2020-05-26T04:00:00.000Z,939.2,1053
