Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,85,89
2020-01-13T05:00:00.000Z,86.6,105
2020-01-20T05:00:00.000Z,89.4,99
2020-01-27T05:00:00.000Z,85.8,97
2020-02-03T05:00:00.000Z,86,84
2020-02-10T05:00:00.000Z,79.2,94
2020-02-17T05:00:00.000Z,82.2,88
2020-02-24T05:00:00.000Z,78,83
2020-03-03T05:00:00.000Z,82,83
2020-03-10T04:00:00.000Z,84.4,78
2020-03-17T04:00:00.000Z,80.2,92
2020-03-24T04:00:00.000Z,80,67
2020-03-31T04:00:00.000Z,83.6,83
2020-04-07T04:00:00.000Z,81.4,96
2020-04-14T04:00:00.000Z,85.6,81
2020-04-21T04:00:00.000Z,77.4,78
2020-04-28T04:00:00.000Z,79.6,58
2020-05-05T04:00:00.000Z,82.2,83
2020-05-12T04:00:00.000Z,88.8,77
2020-05-19T04:00:00.000Z,82.6,71
2020-05-26T04:00:00.000Z,74.8,68
