Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,55432.4,55000
2020-01-13T05:00:00.000Z,55673.4,55536
2020-01-20T05:00:00.000Z,54305.8,54215
2020-01-27T05:00:00.000Z,53395,53780
2020-02-03T05:00:00.000Z,53123.4,53506
2020-02-10T05:00:00.000Z,53141.6,54199
2020-02-17T05:00:00.000Z,52771.8,53565
2020-02-24T05:00:00.000Z,52121.6,53788
2020-03-03T05:00:00.000Z,51895.6,54139
2020-03-10T04:00:00.000Z,52095.6,54342
2020-03-17T04:00:00.000Z,51268.2,53153
2020-03-24T04:00:00.000Z,50870.2,53684
2020-03-31T04:00:00.000Z,50192.2,57455
2020-04-07T04:00:00.000Z,50154.6,65768
2020-04-14T04:00:00.000Z,49783,71825
2020-04-21T04:00:00.000Z,48798.2,68769
2020-04-28T04:00:00.000Z,48283,64882
2020-05-05T04:00:00.000Z,48315.8,60601
2020-05-12T04:00:00.000Z,47579,58993
2020-05-19T04:00:00.000Z,47111.2,56329
2020-05-26T04:00:00.000Z,46913.2,52954
