Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,18,20
2020-03-17T04:00:00.000Z,0,25,26
2020-03-24T04:00:00.000Z,0,437,470
2020-03-31T04:00:00.000Z,0,2683,2864
2020-04-07T04:00:00.000Z,0,8498,9027
2020-04-14T04:00:00.000Z,0,13781,14591
2020-04-21T04:00:00.000Z,0,13820,14706
2020-04-28T04:00:00.000Z,0,11510,12336
2020-05-05T04:00:00.000Z,0,9421,10175
2020-05-12T04:00:00.000Z,0,8639,9367
2020-05-19T04:00:00.000Z,0,6907,7599
2020-05-26T04:00:00.000Z,0,5265,5820
