Date,Average 2015-2019,Cancer
2020-01-06T05:00:00.000Z,10765.8,10548
2020-01-13T05:00:00.000Z,11001.8,10908
2020-01-20T05:00:00.000Z,10804.6,10614
2020-01-27T05:00:00.000Z,10710.4,10731
2020-02-03T05:00:00.000Z,10633.8,10869
2020-02-10T05:00:00.000Z,10775.4,10702
2020-02-17T05:00:00.000Z,10609.8,10784
2020-02-24T05:00:00.000Z,10574,10709
2020-03-03T05:00:00.000Z,10433,10758
2020-03-10T04:00:00.000Z,10671.6,10667
2020-03-17T04:00:00.000Z,10547.6,10445
2020-03-24T04:00:00.000Z,10580.8,10671
2020-03-31T04:00:00.000Z,10396.4,10747
2020-04-07T04:00:00.000Z,10441.4,10595
2020-04-14T04:00:00.000Z,10482,10513
2020-04-21T04:00:00.000Z,10348.2,10178
2020-04-28T04:00:00.000Z,10378.2,10232
2020-05-05T04:00:00.000Z,10421.2,10022
2020-05-12T04:00:00.000Z,10294.2,9938
2020-05-19T04:00:00.000Z,10303.6,10033
2020-05-26T04:00:00.000Z,10320.4,9850
