Date,Average 2015-2019,Cereb Vasc
2020-01-06T05:00:00.000Z,2812,2807
2020-01-13T05:00:00.000Z,2792.2,2884
2020-01-20T05:00:00.000Z,2797.2,2926
2020-01-27T05:00:00.000Z,2752.8,2856
2020-02-03T05:00:00.000Z,2694.6,2748
2020-02-10T05:00:00.000Z,2673.6,2775
2020-02-17T05:00:00.000Z,2669.8,2731
2020-02-24T05:00:00.000Z,2644.8,2775
2020-03-03T05:00:00.000Z,2656.4,2831
2020-03-10T04:00:00.000Z,2634.6,2793
2020-03-17T04:00:00.000Z,2606.8,2803
2020-03-24T04:00:00.000Z,2604,2759
2020-03-31T04:00:00.000Z,2568.4,2758
2020-04-07T04:00:00.000Z,2548.6,2842
2020-04-14T04:00:00.000Z,2581.4,2842
2020-04-21T04:00:00.000Z,2463.6,2877
2020-04-28T04:00:00.000Z,2446,2722
2020-05-05T04:00:00.000Z,2471.2,2711
2020-05-12T04:00:00.000Z,2420.4,2512
2020-05-19T04:00:00.000Z,2407.2,2599
2020-05-26T04:00:00.000Z,2351.4,2427
