Date,Average 2015-2019,Chron.resp
2020-01-06T05:00:00.000Z,3395.8,3191
2020-01-13T05:00:00.000Z,3444.6,3377
2020-01-20T05:00:00.000Z,3346.4,3189
2020-01-27T05:00:00.000Z,3260.6,3067
2020-02-03T05:00:00.000Z,3172.6,2979
2020-02-10T05:00:00.000Z,3269.8,3089
2020-02-17T05:00:00.000Z,3281.6,3147
2020-02-24T05:00:00.000Z,3231.4,3139
2020-03-03T05:00:00.000Z,3137.6,3129
2020-03-10T04:00:00.000Z,3202,3107
2020-03-17T04:00:00.000Z,3176.4,3054
2020-03-24T04:00:00.000Z,3090.4,3042
2020-03-31T04:00:00.000Z,3066.4,3195
2020-04-07T04:00:00.000Z,3055.2,3222
2020-04-14T04:00:00.000Z,2998.8,3126
2020-04-21T04:00:00.000Z,2879.6,2846
2020-04-28T04:00:00.000Z,2845.4,2656
2020-05-05T04:00:00.000Z,2785.6,2602
2020-05-12T04:00:00.000Z,2769.6,2494
2020-05-19T04:00:00.000Z,2706.2,2439
2020-05-26T04:00:00.000Z,2678.6,2270
