Date,Average 2015-2019,Diabetes
2020-01-06T05:00:00.000Z,1718,1670
2020-01-13T05:00:00.000Z,1698.4,1790
2020-01-20T05:00:00.000Z,1657.2,1700
2020-01-27T05:00:00.000Z,1634,1699
2020-02-03T05:00:00.000Z,1583.6,1656
2020-02-10T05:00:00.000Z,1605.6,1814
2020-02-17T05:00:00.000Z,1611.4,1670
2020-02-24T05:00:00.000Z,1561.2,1701
2020-03-03T05:00:00.000Z,1588,1634
2020-03-10T04:00:00.000Z,1562.6,1684
2020-03-17T04:00:00.000Z,1512.4,1556
2020-03-24T04:00:00.000Z,1501.2,1626
2020-03-31T04:00:00.000Z,1501.4,1872
2020-04-07T04:00:00.000Z,1468.8,2094
2020-04-14T04:00:00.000Z,1477,2133
2020-04-21T04:00:00.000Z,1433.2,2019
2020-04-28T04:00:00.000Z,1416.2,1831
2020-05-05T04:00:00.000Z,1458,1704
2020-05-12T04:00:00.000Z,1405.4,1727
2020-05-19T04:00:00.000Z,1354.2,1657
2020-05-26T04:00:00.000Z,1364.4,1514
