Date,Average 2015-2019,Heart disease
2020-01-06T05:00:00.000Z,13248.6,12946
2020-01-13T05:00:00.000Z,13131.8,12665
2020-01-20T05:00:00.000Z,12733.8,12400
2020-01-27T05:00:00.000Z,12485.6,12335
2020-02-03T05:00:00.000Z,12502.6,12229
2020-02-10T05:00:00.000Z,12493,12701
2020-02-17T05:00:00.000Z,12501.2,12376
2020-02-24T05:00:00.000Z,12241.4,12299
2020-03-03T05:00:00.000Z,12327.6,12433
2020-03-10T04:00:00.000Z,12234.2,12377
2020-03-17T04:00:00.000Z,12080,12144
2020-03-24T04:00:00.000Z,11913.6,11871
2020-03-31T04:00:00.000Z,11761,12415
2020-04-07T04:00:00.000Z,11687.8,13515
2020-04-14T04:00:00.000Z,11563,14224
2020-04-21T04:00:00.000Z,11388.6,13054
2020-04-28T04:00:00.000Z,11307.4,12282
2020-05-05T04:00:00.000Z,11178.4,11470
2020-05-12T04:00:00.000Z,11040,11355
2020-05-19T04:00:00.000Z,10921,10780
2020-05-26T04:00:00.000Z,10867.8,10623
