Date,Average 2015-2019,Influ&Pneum
2020-01-06T05:00:00.000Z,1636,1353
2020-01-13T05:00:00.000Z,1660.6,1328
2020-01-20T05:00:00.000Z,1615.6,1293
2020-01-27T05:00:00.000Z,1496.8,1313
2020-02-03T05:00:00.000Z,1459,1230
2020-02-10T05:00:00.000Z,1409.8,1291
2020-02-17T05:00:00.000Z,1414.4,1301
2020-02-24T05:00:00.000Z,1358.6,1241
2020-03-03T05:00:00.000Z,1299.8,1269
2020-03-10T04:00:00.000Z,1268.6,1410
2020-03-17T04:00:00.000Z,1210.6,1425
2020-03-24T04:00:00.000Z,1137,1532
2020-03-31T04:00:00.000Z,1065.2,1581
2020-04-07T04:00:00.000Z,1067.2,1692
2020-04-14T04:00:00.000Z,984.6,1433
2020-04-21T04:00:00.000Z,891.8,1102
2020-04-28T04:00:00.000Z,826.8,987
2020-05-05T04:00:00.000Z,771,874
2020-05-12T04:00:00.000Z,719,715
2020-05-19T04:00:00.000Z,693.2,668
2020-05-26T04:00:00.000Z,661.4,569
