Date,Average 2015-2019,Natural Cause
2020-01-06T05:00:00.000Z,51178.2,50372
2020-01-13T05:00:00.000Z,51486.4,51137
2020-01-20T05:00:00.000Z,50295.2,49928
2020-01-27T05:00:00.000Z,49354.2,49642
2020-02-03T05:00:00.000Z,49024.8,49316
2020-02-10T05:00:00.000Z,48989.2,49857
2020-02-17T05:00:00.000Z,48730.4,49380
2020-02-24T05:00:00.000Z,48117.4,49487
2020-03-03T05:00:00.000Z,47730.2,49846
2020-03-10T04:00:00.000Z,47885,49863
2020-03-17T04:00:00.000Z,47181.8,48860
2020-03-24T04:00:00.000Z,46791.4,49711
2020-03-31T04:00:00.000Z,46117.2,53641
2020-04-07T04:00:00.000Z,45927,61992
2020-04-14T04:00:00.000Z,45664,67964
2020-04-21T04:00:00.000Z,44776.8,65144
2020-04-28T04:00:00.000Z,44229,61226
2020-05-05T04:00:00.000Z,44097.6,57137
2020-05-12T04:00:00.000Z,43383,55560
2020-05-19T04:00:00.000Z,43011.8,53255
2020-05-26T04:00:00.000Z,42759.4,50011
