Date,Average 2015-2019,Septicemia
2020-01-06T05:00:00.000Z,773,649
2020-01-13T05:00:00.000Z,765.2,693
2020-01-20T05:00:00.000Z,738.6,659
2020-01-27T05:00:00.000Z,696,667
2020-02-03T05:00:00.000Z,731.6,611
2020-02-10T05:00:00.000Z,700,596
2020-02-17T05:00:00.000Z,666.8,618
2020-02-24T05:00:00.000Z,677.8,636
2020-03-03T05:00:00.000Z,684.4,636
2020-03-10T04:00:00.000Z,664.2,616
2020-03-17T04:00:00.000Z,663.2,588
2020-03-24T04:00:00.000Z,646.2,665
2020-03-31T04:00:00.000Z,646.4,697
2020-04-07T04:00:00.000Z,608.8,756
2020-04-14T04:00:00.000Z,633.6,669
2020-04-21T04:00:00.000Z,607,579
2020-04-28T04:00:00.000Z,585.4,579
2020-05-05T04:00:00.000Z,556.2,571
2020-05-12T04:00:00.000Z,565.2,544
2020-05-19T04:00:00.000Z,552.4,494
2020-05-26T04:00:00.000Z,549.4,527
