Date,Average 2015-2019,Unclassified
2020-01-06T05:00:00.000Z,499.8,652
2020-01-13T05:00:00.000Z,486,734
2020-01-20T05:00:00.000Z,464,745
2020-01-27T05:00:00.000Z,473.4,776
2020-02-03T05:00:00.000Z,468.4,779
2020-02-10T05:00:00.000Z,474.6,810
2020-02-17T05:00:00.000Z,470.2,820
2020-02-24T05:00:00.000Z,449.8,827
2020-03-03T05:00:00.000Z,446.2,963
2020-03-10T04:00:00.000Z,470.6,984
2020-03-17T04:00:00.000Z,459.8,976
2020-03-24T04:00:00.000Z,421.4,1134
2020-03-31T04:00:00.000Z,439.8,1154
2020-04-07T04:00:00.000Z,455,1349
2020-04-14T04:00:00.000Z,424.4,1549
2020-04-21T04:00:00.000Z,416,1589
2020-04-28T04:00:00.000Z,443,1901
2020-05-05T04:00:00.000Z,397.8,2058
2020-05-12T04:00:00.000Z,405.2,2469
2020-05-19T04:00:00.000Z,428.4,2595
2020-05-26T04:00:00.000Z,406,2692
