Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1269.8,1297
2020-01-13T05:00:00.000Z,1289.6,1388
2020-01-20T05:00:00.000Z,1210.4,1312
2020-01-27T05:00:00.000Z,1260.6,1274
2020-02-03T05:00:00.000Z,1235.2,1262
2020-02-10T05:00:00.000Z,1221.6,1260
2020-02-17T05:00:00.000Z,1196.2,1309
2020-02-24T05:00:00.000Z,1191.6,1337
2020-03-03T05:00:00.000Z,1216,1351
2020-03-10T04:00:00.000Z,1231,1374
2020-03-17T04:00:00.000Z,1224.6,1346
2020-03-24T04:00:00.000Z,1184.2,1285
2020-03-31T04:00:00.000Z,1160,1318
2020-04-07T04:00:00.000Z,1174,1351
2020-04-14T04:00:00.000Z,1174,1394
2020-04-21T04:00:00.000Z,1131.4,1306
2020-04-28T04:00:00.000Z,1130,1370
2020-05-05T04:00:00.000Z,1106.2,1386
2020-05-12T04:00:00.000Z,1107.4,1414
2020-05-19T04:00:00.000Z,1075.2,1279
2020-05-26T04:00:00.000Z,1050.8,1248
