Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,6076.4,5887
2020-01-13T05:00:00.000Z,6074.6,5865
2020-01-20T05:00:00.000Z,5786.2,5823
2020-01-27T05:00:00.000Z,5607.2,5825
2020-02-03T05:00:00.000Z,5662,5676
2020-02-10T05:00:00.000Z,5609.4,5902
2020-02-17T05:00:00.000Z,5587.6,5579
2020-02-24T05:00:00.000Z,5515.8,5793
2020-03-03T05:00:00.000Z,5618.4,5668
2020-03-10T04:00:00.000Z,5522.8,5720
2020-03-17T04:00:00.000Z,5475.8,5453
2020-03-24T04:00:00.000Z,5257.4,5662
2020-03-31T04:00:00.000Z,5195.4,5675
2020-04-07T04:00:00.000Z,5245.8,5955
2020-04-14T04:00:00.000Z,5118,6015
2020-04-21T04:00:00.000Z,5047,6092
2020-04-28T04:00:00.000Z,5085.6,5843
2020-05-05T04:00:00.000Z,4997.8,5666
2020-05-12T04:00:00.000Z,4887.6,5598
2020-05-19T04:00:00.000Z,4846.2,5603
2020-05-26T04:00:00.000Z,4914.8,5376
