Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,206.4,197
2020-01-13T05:00:00.000Z,199.6,191
2020-01-20T05:00:00.000Z,194.6,189
2020-01-27T05:00:00.000Z,195.8,187
2020-02-03T05:00:00.000Z,180.2,180
2020-02-10T05:00:00.000Z,182.4,187
2020-02-17T05:00:00.000Z,193.2,201
2020-02-24T05:00:00.000Z,184,192
2020-03-03T05:00:00.000Z,174.6,162
2020-03-10T04:00:00.000Z,183.2,198
2020-03-17T04:00:00.000Z,183.6,186
2020-03-24T04:00:00.000Z,182.2,217
2020-03-31T04:00:00.000Z,194.6,186
2020-04-07T04:00:00.000Z,169.2,204
2020-04-14T04:00:00.000Z,174.6,214
2020-04-21T04:00:00.000Z,183.4,209
2020-04-28T04:00:00.000Z,164,252
2020-05-05T04:00:00.000Z,160.2,210
2020-05-12T04:00:00.000Z,161.8,211
2020-05-19T04:00:00.000Z,159.2,217
2020-05-26T04:00:00.000Z,167.6,170
