Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,131,131
2020-01-13T05:00:00.000Z,133.8,128
2020-01-20T05:00:00.000Z,113,139
2020-01-27T05:00:00.000Z,123.2,131
2020-02-03T05:00:00.000Z,126.4,143
2020-02-10T05:00:00.000Z,125.4,131
2020-02-17T05:00:00.000Z,126,121
2020-02-24T05:00:00.000Z,109.2,103
2020-03-03T05:00:00.000Z,118,133
2020-03-10T04:00:00.000Z,124.6,118
2020-03-17T04:00:00.000Z,115.4,114
2020-03-24T04:00:00.000Z,119.4,128
2020-03-31T04:00:00.000Z,121,129
2020-04-07T04:00:00.000Z,117.4,155
2020-04-14T04:00:00.000Z,113.6,185
2020-04-21T04:00:00.000Z,117.6,196
2020-04-28T04:00:00.000Z,123.2,230
2020-05-05T04:00:00.000Z,115.4,202
2020-05-12T04:00:00.000Z,104,183
2020-05-19T04:00:00.000Z,102.2,161
2020-05-26T04:00:00.000Z,106.4,161
