Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,4173.6,4341
2020-01-13T05:00:00.000Z,4260.6,4407
2020-01-20T05:00:00.000Z,4262.6,4385
2020-01-27T05:00:00.000Z,4192,4390
2020-02-03T05:00:00.000Z,4337.6,4420
2020-02-10T05:00:00.000Z,4286.8,4384
2020-02-17T05:00:00.000Z,4271.4,4358
2020-02-24T05:00:00.000Z,4238,4413
2020-03-03T05:00:00.000Z,4175,4398
2020-03-10T04:00:00.000Z,4186.2,4519
2020-03-17T04:00:00.000Z,4159.4,4435
2020-03-24T04:00:00.000Z,4145.8,4363
2020-03-31T04:00:00.000Z,4117,4462
2020-04-07T04:00:00.000Z,4054.2,4494
2020-04-14T04:00:00.000Z,4017.2,4541
2020-04-21T04:00:00.000Z,3924,4409
2020-04-28T04:00:00.000Z,3872.4,4548
2020-05-05T04:00:00.000Z,3908.4,4338
2020-05-12T04:00:00.000Z,3877.6,4399
2020-05-19T04:00:00.000Z,3793.8,4265
2020-05-26T04:00:00.000Z,3733.4,4331
