Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1792.4,1797
2020-01-13T05:00:00.000Z,1790.6,1795
2020-01-20T05:00:00.000Z,1761.4,1728
2020-01-27T05:00:00.000Z,1731.4,1814
2020-02-03T05:00:00.000Z,1716.2,1782
2020-02-10T05:00:00.000Z,1734.8,1749
2020-02-17T05:00:00.000Z,1704.6,1742
2020-02-24T05:00:00.000Z,1680.8,1728
2020-03-03T05:00:00.000Z,1637.8,1833
2020-03-10T04:00:00.000Z,1688.2,1726
2020-03-17T04:00:00.000Z,1671.4,1753
2020-03-24T04:00:00.000Z,1627.2,1735
2020-03-31T04:00:00.000Z,1662.2,1826
2020-04-07T04:00:00.000Z,1590.2,1956
2020-04-14T04:00:00.000Z,1588.6,1957
2020-04-21T04:00:00.000Z,1607.6,1934
2020-04-28T04:00:00.000Z,1594.4,1932
2020-05-05T04:00:00.000Z,1581,1847
2020-05-12T04:00:00.000Z,1566.6,1840
2020-05-19T04:00:00.000Z,1545.2,1752
2020-05-26T04:00:00.000Z,1502.4,1617
