Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,291.4,278
2020-01-13T05:00:00.000Z,281.8,292
2020-01-20T05:00:00.000Z,267.6,293
2020-01-27T05:00:00.000Z,271.2,275
2020-02-03T05:00:00.000Z,279,249
2020-02-10T05:00:00.000Z,266.8,292
2020-02-17T05:00:00.000Z,277.4,279
2020-02-24T05:00:00.000Z,280.8,318
2020-03-03T05:00:00.000Z,280.2,290
2020-03-10T04:00:00.000Z,270.8,278
2020-03-17T04:00:00.000Z,272,283
2020-03-24T04:00:00.000Z,285,308
2020-03-31T04:00:00.000Z,256.4,332
2020-04-07T04:00:00.000Z,277.4,271
2020-04-14T04:00:00.000Z,270.4,305
2020-04-21T04:00:00.000Z,275,284
2020-04-28T04:00:00.000Z,254,262
2020-05-05T04:00:00.000Z,265.6,251
2020-05-12T04:00:00.000Z,253.8,304
2020-05-19T04:00:00.000Z,267,269
2020-05-26T04:00:00.000Z,269.4,260
