Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1430.2,1467
2020-01-13T05:00:00.000Z,1432.6,1387
2020-01-20T05:00:00.000Z,1386,1383
2020-01-27T05:00:00.000Z,1353.6,1414
2020-02-03T05:00:00.000Z,1344.8,1368
2020-02-10T05:00:00.000Z,1353,1359
2020-02-17T05:00:00.000Z,1315.4,1417
2020-02-24T05:00:00.000Z,1334,1398
2020-03-03T05:00:00.000Z,1334.4,1438
2020-03-10T04:00:00.000Z,1328.2,1354
2020-03-17T04:00:00.000Z,1317.2,1388
2020-03-24T04:00:00.000Z,1299,1310
2020-03-31T04:00:00.000Z,1313.6,1464
2020-04-07T04:00:00.000Z,1288.8,1563
2020-04-14T04:00:00.000Z,1280.6,1609
2020-04-21T04:00:00.000Z,1259.4,1489
2020-04-28T04:00:00.000Z,1212.4,1558
2020-05-05T04:00:00.000Z,1220.2,1467
2020-05-12T04:00:00.000Z,1216,1513
2020-05-19T04:00:00.000Z,1180,1467
2020-05-26T04:00:00.000Z,1216.2,1332
