Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,659.8,663
2020-01-13T05:00:00.000Z,655,647
2020-01-20T05:00:00.000Z,640.8,618
2020-01-27T05:00:00.000Z,617,640
2020-02-03T05:00:00.000Z,611.4,615
2020-02-10T05:00:00.000Z,610.4,636
2020-02-17T05:00:00.000Z,623,599
2020-02-24T05:00:00.000Z,623,642
2020-03-03T05:00:00.000Z,597.8,642
2020-03-10T04:00:00.000Z,593.4,622
2020-03-17T04:00:00.000Z,607.6,632
2020-03-24T04:00:00.000Z,604.2,590
2020-03-31T04:00:00.000Z,577.6,591
2020-04-07T04:00:00.000Z,592,604
2020-04-14T04:00:00.000Z,582,590
2020-04-21T04:00:00.000Z,562.2,627
2020-04-28T04:00:00.000Z,579.6,576
2020-05-05T04:00:00.000Z,573,657
2020-05-12T04:00:00.000Z,543.4,687
2020-05-19T04:00:00.000Z,546.6,652
2020-05-26T04:00:00.000Z,540,589
