Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1015,1089
2020-01-13T05:00:00.000Z,1060.6,1054
2020-01-20T05:00:00.000Z,1017.6,1039
2020-01-27T05:00:00.000Z,984.2,940
2020-02-03T05:00:00.000Z,982,972
2020-02-10T05:00:00.000Z,982,952
2020-02-17T05:00:00.000Z,970.8,951
2020-02-24T05:00:00.000Z,977,986
2020-03-03T05:00:00.000Z,984.8,1011
2020-03-10T04:00:00.000Z,977.8,993
2020-03-17T04:00:00.000Z,943,1005
2020-03-24T04:00:00.000Z,949.6,935
2020-03-31T04:00:00.000Z,937.2,922
2020-04-07T04:00:00.000Z,924.6,1019
2020-04-14T04:00:00.000Z,935.2,992
2020-04-21T04:00:00.000Z,936.2,937
2020-04-28T04:00:00.000Z,906.6,929
2020-05-05T04:00:00.000Z,888.2,943
2020-05-12T04:00:00.000Z,889.2,930
2020-05-19T04:00:00.000Z,882.6,879
2020-05-26T04:00:00.000Z,863.2,834
