Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,NaN,NaN
2020-03-17T04:00:00.000Z,0,0,0
2020-03-24T04:00:00.000Z,0,36,37
2020-03-31T04:00:00.000Z,0,164,175
2020-04-07T04:00:00.000Z,0,344,367
2020-04-14T04:00:00.000Z,0,404,428
2020-04-21T04:00:00.000Z,0,332,345
2020-04-28T04:00:00.000Z,0,247,269
2020-05-05T04:00:00.000Z,0,225,239
2020-05-12T04:00:00.000Z,0,208,225
2020-05-19T04:00:00.000Z,0,139,150
2020-05-26T04:00:00.000Z,0,94,110
