Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1250.6,1238
2020-01-13T05:00:00.000Z,1299.2,1266
2020-01-20T05:00:00.000Z,1274.2,1188
2020-01-27T05:00:00.000Z,1262.8,1299
2020-02-03T05:00:00.000Z,1256.6,1201
2020-02-10T05:00:00.000Z,1221.4,1231
2020-02-17T05:00:00.000Z,1234.8,1249
2020-02-24T05:00:00.000Z,1192.6,1165
2020-03-03T05:00:00.000Z,1225,1277
2020-03-10T04:00:00.000Z,1216.4,1213
2020-03-17T04:00:00.000Z,1170.2,1308
2020-03-24T04:00:00.000Z,1162.8,1168
2020-03-31T04:00:00.000Z,1217.8,1285
2020-04-07T04:00:00.000Z,1195,1542
2020-04-14T04:00:00.000Z,1177,2027
2020-04-21T04:00:00.000Z,1142.6,2470
2020-04-28T04:00:00.000Z,1119.4,2443
2020-05-05T04:00:00.000Z,1140.4,2176
2020-05-12T04:00:00.000Z,1090.4,2046
2020-05-19T04:00:00.000Z,1067,1861
2020-05-26T04:00:00.000Z,1082.2,1551
