Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,2062.6,2013
2020-01-13T05:00:00.000Z,2042,2064
2020-01-20T05:00:00.000Z,2021.6,1934
2020-01-27T05:00:00.000Z,1954,2005
2020-02-03T05:00:00.000Z,1922.6,2000
2020-02-10T05:00:00.000Z,1972.6,1936
2020-02-17T05:00:00.000Z,1951,2008
2020-02-24T05:00:00.000Z,1938,2053
2020-03-03T05:00:00.000Z,1979.4,1966
2020-03-10T04:00:00.000Z,1968.8,1975
2020-03-17T04:00:00.000Z,1924.6,1940
2020-03-24T04:00:00.000Z,1897.8,2018
2020-03-31T04:00:00.000Z,1890.4,2398
2020-04-07T04:00:00.000Z,1924.2,3065
2020-04-14T04:00:00.000Z,1908,3321
2020-04-21T04:00:00.000Z,1837,3056
2020-04-28T04:00:00.000Z,1863.6,2665
2020-05-05T04:00:00.000Z,1824.4,2455
2020-05-12T04:00:00.000Z,1799.8,2034
2020-05-19T04:00:00.000Z,1774.6,1910
2020-05-26T04:00:00.000Z,1755.4,1934
