Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,926.8,1009
2020-01-13T05:00:00.000Z,956.6,950
2020-01-20T05:00:00.000Z,916,944
2020-01-27T05:00:00.000Z,894,955
2020-02-03T05:00:00.000Z,886.2,941
2020-02-10T05:00:00.000Z,898.6,918
2020-02-17T05:00:00.000Z,896.6,938
2020-02-24T05:00:00.000Z,864.4,912
2020-03-03T05:00:00.000Z,873,930
2020-03-10T04:00:00.000Z,871.4,942
2020-03-17T04:00:00.000Z,845,878
2020-03-24T04:00:00.000Z,857.6,891
2020-03-31T04:00:00.000Z,849.6,903
2020-04-07T04:00:00.000Z,861,917
2020-04-14T04:00:00.000Z,888.8,933
2020-04-21T04:00:00.000Z,836,940
2020-04-28T04:00:00.000Z,814,997
2020-05-05T04:00:00.000Z,828.4,1027
2020-05-12T04:00:00.000Z,824,1027
2020-05-19T04:00:00.000Z,817.8,977
2020-05-26T04:00:00.000Z,794.8,950
