Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,680.2,673
2020-01-13T05:00:00.000Z,677.6,647
2020-01-20T05:00:00.000Z,643,622
2020-01-27T05:00:00.000Z,653.2,608
2020-02-03T05:00:00.000Z,651.2,602
2020-02-10T05:00:00.000Z,666.4,702
2020-02-17T05:00:00.000Z,652.6,643
2020-02-24T05:00:00.000Z,643.6,624
2020-03-03T05:00:00.000Z,622.2,663
2020-03-10T04:00:00.000Z,632.6,658
2020-03-17T04:00:00.000Z,626.4,616
2020-03-24T04:00:00.000Z,619.2,620
2020-03-31T04:00:00.000Z,589.2,686
2020-04-07T04:00:00.000Z,621.6,700
2020-04-14T04:00:00.000Z,595.8,687
2020-04-21T04:00:00.000Z,584.4,726
2020-04-28T04:00:00.000Z,582,727
2020-05-05T04:00:00.000Z,598,733
2020-05-12T04:00:00.000Z,595.8,731
2020-05-19T04:00:00.000Z,587,759
2020-05-26T04:00:00.000Z,575.4,685
