Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,207.2,231
2020-01-13T05:00:00.000Z,208.8,211
2020-01-20T05:00:00.000Z,196.2,202
2020-01-27T05:00:00.000Z,206.2,196
2020-02-03T05:00:00.000Z,196.2,218
2020-02-10T05:00:00.000Z,202.8,202
2020-02-17T05:00:00.000Z,206.8,198
2020-02-24T05:00:00.000Z,218,218
2020-03-03T05:00:00.000Z,198.2,235
2020-03-10T04:00:00.000Z,209,221
2020-03-17T04:00:00.000Z,197.8,218
2020-03-24T04:00:00.000Z,202.6,227
2020-03-31T04:00:00.000Z,186.4,206
2020-04-07T04:00:00.000Z,199.8,177
2020-04-14T04:00:00.000Z,198,215
2020-04-21T04:00:00.000Z,200,190
2020-04-28T04:00:00.000Z,191.2,186
2020-05-05T04:00:00.000Z,191,204
2020-05-12T04:00:00.000Z,189.8,174
2020-05-19T04:00:00.000Z,190.8,204
2020-05-26T04:00:00.000Z,187,176
