Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,377.2,345
2020-01-13T05:00:00.000Z,380.6,362
2020-01-20T05:00:00.000Z,367.2,333
2020-01-27T05:00:00.000Z,362.2,358
2020-02-03T05:00:00.000Z,343.8,373
2020-02-10T05:00:00.000Z,345.6,345
2020-02-17T05:00:00.000Z,345.6,326
2020-02-24T05:00:00.000Z,348.2,318
2020-03-03T05:00:00.000Z,343,340
2020-03-10T04:00:00.000Z,342.6,355
2020-03-17T04:00:00.000Z,347.2,342
2020-03-24T04:00:00.000Z,313.2,350
2020-03-31T04:00:00.000Z,346.8,331
2020-04-07T04:00:00.000Z,339,308
2020-04-14T04:00:00.000Z,335.6,340
2020-04-21T04:00:00.000Z,316,351
2020-04-28T04:00:00.000Z,312.8,347
2020-05-05T04:00:00.000Z,325,341
2020-05-12T04:00:00.000Z,308.6,331
2020-05-19T04:00:00.000Z,312.4,340
2020-05-26T04:00:00.000Z,300.6,336
