Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,554.6,521
2020-01-13T05:00:00.000Z,544.2,556
2020-01-20T05:00:00.000Z,527.4,604
2020-01-27T05:00:00.000Z,519.4,576
2020-02-03T05:00:00.000Z,520.4,530
2020-02-10T05:00:00.000Z,520.6,580
2020-02-17T05:00:00.000Z,496.2,527
2020-02-24T05:00:00.000Z,498.2,544
2020-03-03T05:00:00.000Z,523.6,542
2020-03-10T04:00:00.000Z,509.8,535
2020-03-17T04:00:00.000Z,519.8,513
2020-03-24T04:00:00.000Z,495.8,507
2020-03-31T04:00:00.000Z,483.6,535
2020-04-07T04:00:00.000Z,491.8,588
2020-04-14T04:00:00.000Z,489.8,581
2020-04-21T04:00:00.000Z,495.8,544
2020-04-28T04:00:00.000Z,498.8,556
2020-05-05T04:00:00.000Z,467.2,534
2020-05-12T04:00:00.000Z,476,531
2020-05-19T04:00:00.000Z,448.8,501
2020-05-26T04:00:00.000Z,457,498
