Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1552.6,1628
2020-01-13T05:00:00.000Z,1628.2,1587
2020-01-20T05:00:00.000Z,1563.8,1488
2020-01-27T05:00:00.000Z,1573.8,1577
2020-02-03T05:00:00.000Z,1568,1515
2020-02-10T05:00:00.000Z,1571.2,1491
2020-02-17T05:00:00.000Z,1544.4,1484
2020-02-24T05:00:00.000Z,1514,1489
2020-03-03T05:00:00.000Z,1495,1570
2020-03-10T04:00:00.000Z,1506,1504
2020-03-17T04:00:00.000Z,1465.2,1474
2020-03-24T04:00:00.000Z,1479.4,1591
2020-03-31T04:00:00.000Z,1425.8,2113
2020-04-07T04:00:00.000Z,1437.4,3459
2020-04-14T04:00:00.000Z,1412,4698
2020-04-21T04:00:00.000Z,1392.2,4637
2020-04-28T04:00:00.000Z,1360.4,3781
2020-05-05T04:00:00.000Z,1364,2924
2020-05-12T04:00:00.000Z,1342.6,2561
2020-05-19T04:00:00.000Z,1324.4,2240
2020-05-26T04:00:00.000Z,1333.6,1887
