Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,2142.6,2163
2020-01-13T05:00:00.000Z,2169.6,2089
2020-01-20T05:00:00.000Z,2091.4,2164
2020-01-27T05:00:00.000Z,2130.6,2022
2020-02-03T05:00:00.000Z,2065.2,2028
2020-02-10T05:00:00.000Z,2052,2051
2020-02-17T05:00:00.000Z,2027.6,1982
2020-02-24T05:00:00.000Z,2027.4,2027
2020-03-03T05:00:00.000Z,2036.6,2155
2020-03-10T04:00:00.000Z,2062.2,2059
2020-03-17T04:00:00.000Z,1951.6,1975
2020-03-24T04:00:00.000Z,1984,2102
2020-03-31T04:00:00.000Z,1975,2504
2020-04-07T04:00:00.000Z,1945.2,3648
2020-04-14T04:00:00.000Z,1971.4,4603
2020-04-21T04:00:00.000Z,1933.4,4370
2020-04-28T04:00:00.000Z,1883,3550
2020-05-05T04:00:00.000Z,1894.2,2946
2020-05-12T04:00:00.000Z,1802.8,2757
2020-05-19T04:00:00.000Z,1817.6,2468
2020-05-26T04:00:00.000Z,1856.2,2195
