Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1227.8,1080
2020-01-13T05:00:00.000Z,1187,1108
2020-01-20T05:00:00.000Z,1167.6,1129
2020-01-27T05:00:00.000Z,1191.6,1180
2020-02-03T05:00:00.000Z,1146.6,1169
2020-02-10T05:00:00.000Z,1189,1171
2020-02-17T05:00:00.000Z,1139.6,1123
2020-02-24T05:00:00.000Z,1112.8,1081
2020-03-03T05:00:00.000Z,1119.2,1106
2020-03-10T04:00:00.000Z,1102,1113
2020-03-17T04:00:00.000Z,1097.2,1137
2020-03-24T04:00:00.000Z,1055.8,1401
2020-03-31T04:00:00.000Z,1040.8,2782
2020-04-07T04:00:00.000Z,1045.4,6072
2020-04-14T04:00:00.000Z,1064.8,7722
2020-04-21T04:00:00.000Z,1021,5714
2020-04-28T04:00:00.000Z,1002.2,3822
2020-05-05T04:00:00.000Z,990.4,2483
2020-05-12T04:00:00.000Z,995.2,2040
2020-05-19T04:00:00.000Z,997.2,1597
2020-05-26T04:00:00.000Z,1017.4,1308
