Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,2663.8,2539
2020-01-13T05:00:00.000Z,2716,2604
2020-01-20T05:00:00.000Z,2626.2,2466
2020-01-27T05:00:00.000Z,2563.8,2561
2020-02-03T05:00:00.000Z,2490.6,2485
2020-02-10T05:00:00.000Z,2487.8,2528
2020-02-17T05:00:00.000Z,2465.8,2470
2020-02-24T05:00:00.000Z,2476.6,2509
2020-03-03T05:00:00.000Z,2461.6,2428
2020-03-10T04:00:00.000Z,2486,2415
2020-03-17T04:00:00.000Z,2407.2,2354
2020-03-24T04:00:00.000Z,2429,2155
2020-03-31T04:00:00.000Z,2412.4,2259
2020-04-07T04:00:00.000Z,2467.6,2447
2020-04-14T04:00:00.000Z,2427.2,2584
2020-04-21T04:00:00.000Z,2333.8,2570
2020-04-28T04:00:00.000Z,2275,2704
2020-05-05T04:00:00.000Z,2287,2665
2020-05-12T04:00:00.000Z,2295,2556
2020-05-19T04:00:00.000Z,2198.6,2600
2020-05-26T04:00:00.000Z,2207.6,2507
