Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,834.6,890
2020-01-13T05:00:00.000Z,842.6,796
2020-01-20T05:00:00.000Z,845,778
2020-01-27T05:00:00.000Z,845.4,682
2020-02-03T05:00:00.000Z,829.2,723
2020-02-10T05:00:00.000Z,842.6,803
2020-02-17T05:00:00.000Z,845,780
2020-02-24T05:00:00.000Z,816,747
2020-03-03T05:00:00.000Z,809.8,787
2020-03-10T04:00:00.000Z,825,790
2020-03-17T04:00:00.000Z,796,785
2020-03-24T04:00:00.000Z,789.6,816
2020-03-31T04:00:00.000Z,740.4,846
2020-04-07T04:00:00.000Z,734.4,763
2020-04-14T04:00:00.000Z,743.6,834
2020-04-21T04:00:00.000Z,722,775
2020-04-28T04:00:00.000Z,730.2,719
2020-05-05T04:00:00.000Z,746.8,685
2020-05-12T04:00:00.000Z,709.2,760
2020-05-19T04:00:00.000Z,735,697
2020-05-26T04:00:00.000Z,712.8,756
