Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,785.4,736
2020-01-13T05:00:00.000Z,781,764
2020-01-20T05:00:00.000Z,777.6,769
2020-01-27T05:00:00.000Z,737.4,745
2020-02-03T05:00:00.000Z,740,726
2020-02-10T05:00:00.000Z,738.8,727
2020-02-17T05:00:00.000Z,709.6,780
2020-02-24T05:00:00.000Z,714,731
2020-03-03T05:00:00.000Z,734.2,733
2020-03-10T04:00:00.000Z,746.4,786
2020-03-17T04:00:00.000Z,734.4,741
2020-03-24T04:00:00.000Z,719.6,772
2020-03-31T04:00:00.000Z,705.4,768
2020-04-07T04:00:00.000Z,707.4,777
2020-04-14T04:00:00.000Z,704.8,765
2020-04-21T04:00:00.000Z,714.4,760
2020-04-28T04:00:00.000Z,682.2,761
2020-05-05T04:00:00.000Z,690.4,699
2020-05-12T04:00:00.000Z,696.8,694
2020-05-19T04:00:00.000Z,682.8,697
2020-05-26T04:00:00.000Z,679.2,693
