Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,655.6,553
2020-01-13T05:00:00.000Z,624.6,588
2020-01-20T05:00:00.000Z,638.4,649
2020-01-27T05:00:00.000Z,618,620
2020-02-03T05:00:00.000Z,628,582
2020-02-10T05:00:00.000Z,613.2,601
2020-02-17T05:00:00.000Z,594.2,614
2020-02-24T05:00:00.000Z,583,611
2020-03-03T05:00:00.000Z,587.8,616
2020-03-10T04:00:00.000Z,566.4,614
2020-03-17T04:00:00.000Z,571.2,590
2020-03-24T04:00:00.000Z,562.2,624
2020-03-31T04:00:00.000Z,538,633
2020-04-07T04:00:00.000Z,541.6,567
2020-04-14T04:00:00.000Z,536.6,587
2020-04-21T04:00:00.000Z,519.4,544
2020-04-28T04:00:00.000Z,533.2,523
2020-05-05T04:00:00.000Z,531.2,512
2020-05-12T04:00:00.000Z,533.6,521
2020-05-19T04:00:00.000Z,547,465
2020-05-26T04:00:00.000Z,552.4,437
