Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,219,225
2020-01-13T05:00:00.000Z,219.6,201
2020-01-20T05:00:00.000Z,207.8,204
2020-01-27T05:00:00.000Z,228.4,198
2020-02-03T05:00:00.000Z,217.4,220
2020-02-10T05:00:00.000Z,232.4,243
2020-02-17T05:00:00.000Z,220,181
2020-02-24T05:00:00.000Z,209.8,205
2020-03-03T05:00:00.000Z,208.6,236
2020-03-10T04:00:00.000Z,216.2,253
2020-03-17T04:00:00.000Z,202.4,195
2020-03-24T04:00:00.000Z,210,219
2020-03-31T04:00:00.000Z,194,197
2020-04-07T04:00:00.000Z,207.2,234
2020-04-14T04:00:00.000Z,199.2,242
2020-04-21T04:00:00.000Z,204.4,270
2020-04-28T04:00:00.000Z,204.4,290
2020-05-05T04:00:00.000Z,210.4,326
2020-05-12T04:00:00.000Z,190.6,362
2020-05-19T04:00:00.000Z,206,284
2020-05-26T04:00:00.000Z,186.8,237
