Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,166.6,169
2020-01-13T05:00:00.000Z,161.6,169
2020-01-20T05:00:00.000Z,154.2,168
2020-01-27T05:00:00.000Z,173.2,150
2020-02-03T05:00:00.000Z,159.6,162
2020-02-10T05:00:00.000Z,157.6,150
2020-02-17T05:00:00.000Z,164.6,177
2020-02-24T05:00:00.000Z,162,176
2020-03-03T05:00:00.000Z,164,163
2020-03-10T04:00:00.000Z,168.6,194
2020-03-17T04:00:00.000Z,160.8,166
2020-03-24T04:00:00.000Z,163.2,161
2020-03-31T04:00:00.000Z,152.2,147
2020-04-07T04:00:00.000Z,163.2,169
2020-04-14T04:00:00.000Z,163.6,148
2020-04-21T04:00:00.000Z,159,152
2020-04-28T04:00:00.000Z,141.8,173
2020-05-05T04:00:00.000Z,157,155
2020-05-12T04:00:00.000Z,150.8,172
2020-05-19T04:00:00.000Z,142.6,140
2020-05-26T04:00:00.000Z,146.2,146
