Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1589.8,1612
2020-01-13T05:00:00.000Z,1566.4,1684
2020-01-20T05:00:00.000Z,1545.2,1591
2020-01-27T05:00:00.000Z,1492.4,1529
2020-02-03T05:00:00.000Z,1500.6,1587
2020-02-10T05:00:00.000Z,1532.4,1608
2020-02-17T05:00:00.000Z,1491.2,1451
2020-02-24T05:00:00.000Z,1490.8,1509
2020-03-03T05:00:00.000Z,1465.4,1497
2020-03-10T04:00:00.000Z,1453.4,1603
2020-03-17T04:00:00.000Z,1439.2,1588
2020-03-24T04:00:00.000Z,1421.6,1516
2020-03-31T04:00:00.000Z,1422.2,1506
2020-04-07T04:00:00.000Z,1428.6,1571
2020-04-14T04:00:00.000Z,1406.2,1501
2020-04-21T04:00:00.000Z,1370.2,1527
2020-04-28T04:00:00.000Z,1388.6,1454
2020-05-05T04:00:00.000Z,1366.6,1460
2020-05-12T04:00:00.000Z,1362.8,1453
2020-05-19T04:00:00.000Z,1347.6,1492
2020-05-26T04:00:00.000Z,1342.2,1458
