Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,4380.2,4322
2020-01-13T05:00:00.000Z,4390.6,4560
2020-01-20T05:00:00.000Z,4269,4249
2020-01-27T05:00:00.000Z,4158.2,4121
2020-02-03T05:00:00.000Z,4148,4165
2020-02-10T05:00:00.000Z,4156,4317
2020-02-17T05:00:00.000Z,4105.2,4331
2020-02-24T05:00:00.000Z,4045.6,4206
2020-03-03T05:00:00.000Z,4030.4,4135
2020-03-10T04:00:00.000Z,4071.6,4163
2020-03-17T04:00:00.000Z,3965,4146
2020-03-24T04:00:00.000Z,3924.4,4236
2020-03-31T04:00:00.000Z,3852.2,4236
2020-04-07T04:00:00.000Z,3793.6,4151
2020-04-14T04:00:00.000Z,3807,4235
2020-04-21T04:00:00.000Z,3748.2,4252
2020-04-28T04:00:00.000Z,3755.2,4383
2020-05-05T04:00:00.000Z,3755.6,4193
2020-05-12T04:00:00.000Z,3676.2,4197
2020-05-19T04:00:00.000Z,3692.8,4162
2020-05-26T04:00:00.000Z,3669.4,4037
