Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,116.4,92
2020-01-13T05:00:00.000Z,121.4,102
2020-01-20T05:00:00.000Z,117,125
2020-01-27T05:00:00.000Z,128.2,119
2020-02-03T05:00:00.000Z,119,105
2020-02-10T05:00:00.000Z,116.4,112
2020-02-17T05:00:00.000Z,119.2,126
2020-02-24T05:00:00.000Z,126.8,107
2020-03-03T05:00:00.000Z,111.6,146
2020-03-10T04:00:00.000Z,125.6,115
2020-03-17T04:00:00.000Z,119.8,140
2020-03-24T04:00:00.000Z,122.6,156
2020-03-31T04:00:00.000Z,113,106
2020-04-07T04:00:00.000Z,106.2,129
2020-04-14T04:00:00.000Z,120.6,109
2020-04-21T04:00:00.000Z,115.6,145
2020-04-28T04:00:00.000Z,113.6,120
2020-05-05T04:00:00.000Z,101.8,109
2020-05-12T04:00:00.000Z,105.4,111
2020-05-19T04:00:00.000Z,104.8,101
2020-05-26T04:00:00.000Z,104.6,115
