Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1425.2,1428
2020-01-13T05:00:00.000Z,1447,1534
2020-01-20T05:00:00.000Z,1415,1420
2020-01-27T05:00:00.000Z,1378.2,1280
2020-02-03T05:00:00.000Z,1387.2,1421
2020-02-10T05:00:00.000Z,1396.8,1525
2020-02-17T05:00:00.000Z,1385.6,1377
2020-02-24T05:00:00.000Z,1384.4,1441
2020-03-03T05:00:00.000Z,1380.6,1386
2020-03-10T04:00:00.000Z,1369.4,1477
2020-03-17T04:00:00.000Z,1327.4,1428
2020-03-24T04:00:00.000Z,1350.2,1448
2020-03-31T04:00:00.000Z,1319,1512
2020-04-07T04:00:00.000Z,1312.4,1460
2020-04-14T04:00:00.000Z,1294.6,1607
2020-04-21T04:00:00.000Z,1277.8,1578
2020-04-28T04:00:00.000Z,1245.8,1576
2020-05-05T04:00:00.000Z,1285,1641
2020-05-12T04:00:00.000Z,1242.4,1577
2020-05-19T04:00:00.000Z,1231.6,1526
2020-05-26T04:00:00.000Z,1218.4,1416
