Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,502.8,469
2020-01-13T05:00:00.000Z,498.4,490
2020-01-20T05:00:00.000Z,497.8,517
2020-01-27T05:00:00.000Z,462,436
2020-02-03T05:00:00.000Z,468.4,475
2020-02-10T05:00:00.000Z,453.6,475
2020-02-17T05:00:00.000Z,464.8,470
2020-02-24T05:00:00.000Z,439.4,463
2020-03-03T05:00:00.000Z,444.2,453
2020-03-10T04:00:00.000Z,447.2,481
2020-03-17T04:00:00.000Z,448,468
2020-03-24T04:00:00.000Z,449,465
2020-03-31T04:00:00.000Z,460.8,485
2020-04-07T04:00:00.000Z,450.2,441
2020-04-14T04:00:00.000Z,458,477
2020-04-21T04:00:00.000Z,426.2,352
2020-04-28T04:00:00.000Z,420.2,392
2020-05-05T04:00:00.000Z,429.6,405
2020-05-12T04:00:00.000Z,416.8,378
2020-05-19T04:00:00.000Z,405.8,308
2020-05-26T04:00:00.000Z,405,126
2020-06-02T04:00:00.000Z,416.8,undefined
