Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1131,1118
2020-01-13T05:00:00.000Z,1103.6,1060
2020-01-20T05:00:00.000Z,1108.2,1133
2020-01-27T05:00:00.000Z,1083.6,1086
2020-02-03T05:00:00.000Z,1072.2,1176
2020-02-10T05:00:00.000Z,1047.2,1053
2020-02-17T05:00:00.000Z,1023.8,1125
2020-02-24T05:00:00.000Z,908,1159
2020-03-03T05:00:00.000Z,900.4,1135
2020-03-10T04:00:00.000Z,979.4,1115
2020-03-17T04:00:00.000Z,1017.6,1104
2020-03-24T04:00:00.000Z,1033.8,1111
2020-03-31T04:00:00.000Z,997.4,1144
2020-04-07T04:00:00.000Z,1012.8,1219
2020-04-14T04:00:00.000Z,1044.8,1170
2020-04-21T04:00:00.000Z,1000.2,1143
2020-04-28T04:00:00.000Z,986.4,1023
2020-05-05T04:00:00.000Z,990,1153
2020-05-12T04:00:00.000Z,984.2,1068
2020-05-19T04:00:00.000Z,963,1007
2020-05-26T04:00:00.000Z,959.4,1057
