Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,95,144
2020-01-13T05:00:00.000Z,94.8,81
2020-01-20T05:00:00.000Z,87.8,103
2020-01-27T05:00:00.000Z,89.6,96
2020-02-03T05:00:00.000Z,92.4,94
2020-02-10T05:00:00.000Z,90.4,97
2020-02-17T05:00:00.000Z,87.4,75
2020-02-24T05:00:00.000Z,90.6,101
2020-03-03T05:00:00.000Z,87.6,100
2020-03-10T04:00:00.000Z,95.4,80
2020-03-17T04:00:00.000Z,92,85
2020-03-24T04:00:00.000Z,93,117
2020-03-31T04:00:00.000Z,88.6,88
2020-04-07T04:00:00.000Z,87,123
2020-04-14T04:00:00.000Z,83.2,102
2020-04-21T04:00:00.000Z,87.6,89
2020-04-28T04:00:00.000Z,73.8,98
2020-05-05T04:00:00.000Z,84.4,68
2020-05-12T04:00:00.000Z,87.2,83
2020-05-19T04:00:00.000Z,87.4,100
2020-05-26T04:00:00.000Z,83.6,95
