Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1118.6,1077
2020-01-13T05:00:00.000Z,1141,1124
2020-01-20T05:00:00.000Z,1101.8,1038
2020-01-27T05:00:00.000Z,1094.2,1053
2020-02-03T05:00:00.000Z,1098.2,1024
2020-02-10T05:00:00.000Z,1099.8,1116
2020-02-17T05:00:00.000Z,1087.8,1093
2020-02-24T05:00:00.000Z,1065.2,1096
2020-03-03T05:00:00.000Z,1065.6,1160
2020-03-10T04:00:00.000Z,1054,1053
2020-03-17T04:00:00.000Z,1051,1085
2020-03-24T04:00:00.000Z,1011.4,1055
2020-03-31T04:00:00.000Z,995.8,1069
2020-04-07T04:00:00.000Z,1014.8,1150
2020-04-14T04:00:00.000Z,983.6,1130
2020-04-21T04:00:00.000Z,991.6,1136
2020-04-28T04:00:00.000Z,990.4,1132
2020-05-05T04:00:00.000Z,968,1143
2020-05-12T04:00:00.000Z,972.2,1159
2020-05-19T04:00:00.000Z,955.8,1140
2020-05-26T04:00:00.000Z,939.2,1140
2020-06-02T04:00:00.000Z,925.6,1096
2020-06-09T04:00:00.000Z,974.4,1151
2020-06-16T04:00:00.000Z,924.6,1126
2020-06-23T04:00:00.000Z,967,1072
2020-06-30T04:00:00.000Z,920,1132
2020-07-07T04:00:00.000Z,956.6,1177
2020-07-14T04:00:00.000Z,973,1235
2020-07-21T04:00:00.000Z,946.2,1250
2020-07-28T04:00:00.000Z,925.8,1289
2020-08-04T04:00:00.000Z,944.6,1317
2020-08-11T04:00:00.000Z,956.4,1286
2020-08-18T04:00:00.000Z,938.6,1188
