Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,85,89
2020-01-13T05:00:00.000Z,86.6,105
2020-01-20T05:00:00.000Z,89.4,99
2020-01-27T05:00:00.000Z,85.8,97
2020-02-03T05:00:00.000Z,86,85
2020-02-10T05:00:00.000Z,79.2,95
2020-02-17T05:00:00.000Z,82.2,89
2020-02-24T05:00:00.000Z,78,83
2020-03-03T05:00:00.000Z,82,84
2020-03-10T04:00:00.000Z,84.4,79
2020-03-17T04:00:00.000Z,80.2,92
2020-03-24T04:00:00.000Z,80,69
2020-03-31T04:00:00.000Z,83.6,86
2020-04-07T04:00:00.000Z,81.4,98
2020-04-14T04:00:00.000Z,85.6,83
2020-04-21T04:00:00.000Z,77.4,80
2020-04-28T04:00:00.000Z,79.6,62
2020-05-05T04:00:00.000Z,82.2,87
2020-05-12T04:00:00.000Z,88.8,88
2020-05-19T04:00:00.000Z,82.6,82
2020-05-26T04:00:00.000Z,74.8,80
2020-06-02T04:00:00.000Z,80,97
2020-06-09T04:00:00.000Z,83.6,77
2020-06-16T04:00:00.000Z,81.6,88
2020-06-23T04:00:00.000Z,84,88
2020-06-30T04:00:00.000Z,79.4,86
2020-07-07T04:00:00.000Z,83.2,81
2020-07-14T04:00:00.000Z,88.4,94
2020-07-21T04:00:00.000Z,81,82
2020-07-28T04:00:00.000Z,74.4,81
2020-08-04T04:00:00.000Z,77.2,105
2020-08-11T04:00:00.000Z,74.6,83
2020-08-18T04:00:00.000Z,82.6,55
