Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,59134.2,58641
2020-01-13T05:00:00.000Z,59446,59199
2020-01-20T05:00:00.000Z,58055,57929
2020-01-27T05:00:00.000Z,57130.8,57408
2020-02-03T05:00:00.000Z,56764.8,57170
2020-02-10T05:00:00.000Z,56802.4,57851
2020-02-17T05:00:00.000Z,56435.4,57253
2020-02-24T05:00:00.000Z,55712.4,57424
2020-03-03T05:00:00.000Z,55483,57821
2020-03-10T04:00:00.000Z,55665,58109
2020-03-17T04:00:00.000Z,54766.4,57078
2020-03-24T04:00:00.000Z,54386.6,57615
2020-03-31T04:00:00.000Z,53646,61645
2020-04-07T04:00:00.000Z,53596.8,70689
2020-04-14T04:00:00.000Z,53229,77453
2020-04-21T04:00:00.000Z,52167.6,75076
2020-04-28T04:00:00.000Z,51578.8,72047
2020-05-05T04:00:00.000Z,51533.4,67594
2020-05-12T04:00:00.000Z,50757.6,65073
2020-05-19T04:00:00.000Z,50258.6,62711
2020-05-26T04:00:00.000Z,50106.6,59804
2020-06-02T04:00:00.000Z,49697.4,57918
2020-06-09T04:00:00.000Z,50166.2,57124
2020-06-16T04:00:00.000Z,49736.6,56299
2020-06-23T04:00:00.000Z,49610.2,56156
2020-06-30T04:00:00.000Z,49487,56568
2020-07-07T04:00:00.000Z,49686.6,57684
2020-07-14T04:00:00.000Z,49413.8,59607
2020-07-21T04:00:00.000Z,49040,60597
2020-07-28T04:00:00.000Z,48864.8,61335
2020-08-04T04:00:00.000Z,48907.4,60736
2020-08-11T04:00:00.000Z,49124.4,59184
2020-08-18T04:00:00.000Z,48925,57542
