Date,Average 2015-2019,Alzheimer
2020-01-06T05:00:00.000Z,2528,2423
2020-01-13T05:00:00.000Z,2612.4,2449
2020-01-20T05:00:00.000Z,2611.2,2400
2020-01-27T05:00:00.000Z,2474.4,2425
2020-02-03T05:00:00.000Z,2455.4,2327
2020-02-10T05:00:00.000Z,2403,2374
2020-02-17T05:00:00.000Z,2443.8,2448
2020-02-24T05:00:00.000Z,2370.4,2403
2020-03-03T05:00:00.000Z,2254.8,2417
2020-03-10T04:00:00.000Z,2295.6,2413
2020-03-17T04:00:00.000Z,2295.4,2341
2020-03-24T04:00:00.000Z,2240.4,2411
2020-03-31T04:00:00.000Z,2229.2,2671
2020-04-07T04:00:00.000Z,2207.2,2773
2020-04-14T04:00:00.000Z,2124.8,2879
2020-04-21T04:00:00.000Z,2151.6,2805
2020-04-28T04:00:00.000Z,2106,2675
2020-05-05T04:00:00.000Z,2046.6,2629
2020-05-12T04:00:00.000Z,2005.6,2394
2020-05-19T04:00:00.000Z,2008.4,2356
2020-05-26T04:00:00.000Z,1996.6,2330
2020-06-02T04:00:00.000Z,1950.4,2161
2020-06-09T04:00:00.000Z,1996,2208
2020-06-16T04:00:00.000Z,1982.8,2233
2020-06-23T04:00:00.000Z,1965.6,2267
2020-06-30T04:00:00.000Z,1951.6,2211
2020-07-07T04:00:00.000Z,1930.8,2261
2020-07-14T04:00:00.000Z,1950,2356
2020-07-21T04:00:00.000Z,1925.8,2400
2020-07-28T04:00:00.000Z,1928.8,2418
2020-08-04T04:00:00.000Z,1928.4,2367
2020-08-11T04:00:00.000Z,1957.2,2277
2020-08-18T04:00:00.000Z,1927.8,2287
