Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,19,21
2020-03-17T04:00:00.000Z,0,25,26
2020-03-24T04:00:00.000Z,0,464,493
2020-03-31T04:00:00.000Z,0,2894,3074
2020-04-07T04:00:00.000Z,0,9428,9925
2020-04-14T04:00:00.000Z,0,15298,16100
2020-04-21T04:00:00.000Z,0,16000,16916
2020-04-28T04:00:00.000Z,0,14411,15295
2020-05-05T04:00:00.000Z,0,12221,13001
2020-05-12T04:00:00.000Z,0,10244,11028
2020-05-19T04:00:00.000Z,0,8291,9027
2020-05-26T04:00:00.000Z,0,6346,6990
2020-06-02T04:00:00.000Z,0,5367,5922
2020-06-09T04:00:00.000Z,0,4286,4807
2020-06-16T04:00:00.000Z,0,3557,4037
2020-06-23T04:00:00.000Z,0,3195,3661
2020-06-30T04:00:00.000Z,0,3133,3617
2020-07-07T04:00:00.000Z,0,3820,4283
2020-07-14T04:00:00.000Z,0,4927,5447
2020-07-21T04:00:00.000Z,0,6113,6731
2020-07-28T04:00:00.000Z,0,7004,7670
2020-08-04T04:00:00.000Z,0,6954,7595
2020-08-11T04:00:00.000Z,0,6462,7078
2020-08-18T04:00:00.000Z,0,5656,6272
