Date,Average 2015-2019,Cancer
2020-01-06T05:00:00.000Z,11878,11649
2020-01-13T05:00:00.000Z,12135.8,12051
2020-01-20T05:00:00.000Z,11892.6,11785
2020-01-27T05:00:00.000Z,11825.4,11898
2020-02-03T05:00:00.000Z,11723.6,12015
2020-02-10T05:00:00.000Z,11880.2,11794
2020-02-17T05:00:00.000Z,11702.4,11896
2020-02-24T05:00:00.000Z,11678.6,11872
2020-03-03T05:00:00.000Z,11515.2,11879
2020-03-10T04:00:00.000Z,11781.6,11797
2020-03-17T04:00:00.000Z,11640,11651
2020-03-24T04:00:00.000Z,11689.8,11820
2020-03-31T04:00:00.000Z,11485,11849
2020-04-07T04:00:00.000Z,11513.8,11696
2020-04-14T04:00:00.000Z,11593.6,11624
2020-04-21T04:00:00.000Z,11395,11268
2020-04-28T04:00:00.000Z,11439.2,11421
2020-05-05T04:00:00.000Z,11493.4,11157
2020-05-12T04:00:00.000Z,11358.8,11101
2020-05-19T04:00:00.000Z,11362.4,11323
2020-05-26T04:00:00.000Z,11390,11193
2020-06-02T04:00:00.000Z,11256.4,10965
2020-06-09T04:00:00.000Z,11312.8,11156
2020-06-16T04:00:00.000Z,11364.2,11197
2020-06-23T04:00:00.000Z,11429.2,11210
2020-06-30T04:00:00.000Z,11417,11388
2020-07-07T04:00:00.000Z,11390.2,11304
2020-07-14T04:00:00.000Z,11399,11300
2020-07-21T04:00:00.000Z,11405.6,11282
2020-07-28T04:00:00.000Z,11426.6,11330
2020-08-04T04:00:00.000Z,11366.6,11153
2020-08-11T04:00:00.000Z,11510.4,11133
2020-08-18T04:00:00.000Z,11506.2,10952
