Date,Average 2015-2019,Chron.resp
2020-01-06T05:00:00.000Z,3583.2,3347
2020-01-13T05:00:00.000Z,3624.2,3564
2020-01-20T05:00:00.000Z,3532.6,3364
2020-01-27T05:00:00.000Z,3461.2,3229
2020-02-03T05:00:00.000Z,3369.4,3148
2020-02-10T05:00:00.000Z,3460.2,3262
2020-02-17T05:00:00.000Z,3457.6,3328
2020-02-24T05:00:00.000Z,3399.8,3323
2020-03-03T05:00:00.000Z,3325.8,3305
2020-03-10T04:00:00.000Z,3378.8,3322
2020-03-17T04:00:00.000Z,3351.8,3247
2020-03-24T04:00:00.000Z,3278.2,3241
2020-03-31T04:00:00.000Z,3257.8,3409
2020-04-07T04:00:00.000Z,3223.8,3412
2020-04-14T04:00:00.000Z,3180.4,3317
2020-04-21T04:00:00.000Z,3042,3015
2020-04-28T04:00:00.000Z,3010,2853
2020-05-05T04:00:00.000Z,2943.2,2793
2020-05-12T04:00:00.000Z,2925.2,2695
2020-05-19T04:00:00.000Z,2852.2,2627
2020-05-26T04:00:00.000Z,2832,2534
2020-06-02T04:00:00.000Z,2755.2,2540
2020-06-09T04:00:00.000Z,2773,2395
2020-06-16T04:00:00.000Z,2682.6,2367
2020-06-23T04:00:00.000Z,2682,2443
2020-06-30T04:00:00.000Z,2634.4,2394
2020-07-07T04:00:00.000Z,2567.4,2485
2020-07-14T04:00:00.000Z,2557.4,2448
2020-07-21T04:00:00.000Z,2501.6,2471
2020-07-28T04:00:00.000Z,2441.4,2378
2020-08-04T04:00:00.000Z,2453,2542
2020-08-11T04:00:00.000Z,2393.2,2366
2020-08-18T04:00:00.000Z,2461.4,2394
