Date,Average 2015-2019,Influ&Pneum
2020-01-06T05:00:00.000Z,1800.2,1485
2020-01-13T05:00:00.000Z,1848.6,1474
2020-01-20T05:00:00.000Z,1789,1432
2020-01-27T05:00:00.000Z,1670,1447
2020-02-03T05:00:00.000Z,1632.4,1372
2020-02-10T05:00:00.000Z,1578.2,1431
2020-02-17T05:00:00.000Z,1588.2,1468
2020-02-24T05:00:00.000Z,1533,1388
2020-03-03T05:00:00.000Z,1464.6,1445
2020-03-10T04:00:00.000Z,1417.6,1537
2020-03-17T04:00:00.000Z,1352,1578
2020-03-24T04:00:00.000Z,1271.8,1721
2020-03-31T04:00:00.000Z,1204.6,1754
2020-04-07T04:00:00.000Z,1193.8,1827
2020-04-14T04:00:00.000Z,1099.6,1555
2020-04-21T04:00:00.000Z,1001.8,1185
2020-04-28T04:00:00.000Z,934,1080
2020-05-05T04:00:00.000Z,866.6,959
2020-05-12T04:00:00.000Z,795.6,778
2020-05-19T04:00:00.000Z,773,782
2020-05-26T04:00:00.000Z,734.4,678
2020-06-02T04:00:00.000Z,715,656
2020-06-09T04:00:00.000Z,740.6,592
2020-06-16T04:00:00.000Z,683.4,575
2020-06-23T04:00:00.000Z,689.2,619
2020-06-30T04:00:00.000Z,677.2,616
2020-07-07T04:00:00.000Z,682.2,532
2020-07-14T04:00:00.000Z,652.4,618
2020-07-21T04:00:00.000Z,614,631
2020-07-28T04:00:00.000Z,635.2,642
2020-08-04T04:00:00.000Z,633.6,640
