Date,Average 2015-2019,Kidney
2020-01-06T05:00:00.000Z,1008.4,961
2020-01-13T05:00:00.000Z,1017.6,987
2020-01-20T05:00:00.000Z,1016,1045
2020-01-27T05:00:00.000Z,991.4,984
2020-02-03T05:00:00.000Z,969.6,995
2020-02-10T05:00:00.000Z,959.2,1027
2020-02-17T05:00:00.000Z,963.4,933
2020-02-24T05:00:00.000Z,962.8,973
2020-03-03T05:00:00.000Z,911.8,990
2020-03-10T04:00:00.000Z,936.6,967
2020-03-17T04:00:00.000Z,939.4,954
2020-03-24T04:00:00.000Z,920.6,991
2020-03-31T04:00:00.000Z,888.2,932
2020-04-07T04:00:00.000Z,886.2,927
2020-04-14T04:00:00.000Z,869.6,1029
2020-04-21T04:00:00.000Z,835.8,968
2020-04-28T04:00:00.000Z,874.6,870
2020-05-05T04:00:00.000Z,827.2,848
2020-05-12T04:00:00.000Z,834,804
2020-05-19T04:00:00.000Z,807.4,852
2020-05-26T04:00:00.000Z,796.4,817
2020-06-02T04:00:00.000Z,797.4,775
2020-06-09T04:00:00.000Z,784.6,769
2020-06-16T04:00:00.000Z,786,797
2020-06-23T04:00:00.000Z,797.8,812
2020-06-30T04:00:00.000Z,795,820
2020-07-07T04:00:00.000Z,766.6,873
2020-07-14T04:00:00.000Z,780,765
2020-07-21T04:00:00.000Z,767.6,836
2020-07-28T04:00:00.000Z,749.8,848
2020-08-04T04:00:00.000Z,744.8,798
2020-08-11T04:00:00.000Z,752.4,768
2020-08-18T04:00:00.000Z,756.2,786
