Date,Average 2015-2019,Natural Cause
2020-01-06T05:00:00.000Z,56451.6,55516
2020-01-13T05:00:00.000Z,56861.6,56231
2020-01-20T05:00:00.000Z,55538.4,55002
2020-01-27T05:00:00.000Z,54600.4,54675
2020-02-03T05:00:00.000Z,54157,54387
2020-02-10T05:00:00.000Z,54187.6,54923
2020-02-17T05:00:00.000Z,53926.8,54535
2020-02-24T05:00:00.000Z,53215.2,54528
2020-03-03T05:00:00.000Z,52816,54885
2020-03-10T04:00:00.000Z,52935.8,54917
2020-03-17T04:00:00.000Z,52113.8,53834
2020-03-24T04:00:00.000Z,51741.2,54770
2020-03-31T04:00:00.000Z,50993,58852
2020-04-07T04:00:00.000Z,50745.6,67980
2020-04-14T04:00:00.000Z,50483,74544
2020-04-21T04:00:00.000Z,49448.8,72371
2020-04-28T04:00:00.000Z,48792.6,69223
2020-05-05T04:00:00.000Z,48630.8,64538
2020-05-12T04:00:00.000Z,47848.4,61916
2020-05-19T04:00:00.000Z,47427.4,59681
2020-05-26T04:00:00.000Z,47235,56777
2020-06-02T04:00:00.000Z,46645.8,54825
2020-06-09T04:00:00.000Z,46996.4,53832
2020-06-16T04:00:00.000Z,46709,53099
2020-06-23T04:00:00.000Z,46571,53035
2020-06-30T04:00:00.000Z,46406.8,53433
2020-07-07T04:00:00.000Z,46343,54158
2020-07-14T04:00:00.000Z,46265.8,55527
2020-07-21T04:00:00.000Z,45914.8,56352
2020-07-28T04:00:00.000Z,45685.2,56785
2020-08-04T04:00:00.000Z,45689.4,55502
