Date,Average 2015-2019,Other resp
2020-01-06T05:00:00.000Z,823,967
2020-01-13T05:00:00.000Z,801,885
2020-01-20T05:00:00.000Z,809.2,874
2020-01-27T05:00:00.000Z,781.4,854
2020-02-03T05:00:00.000Z,762.8,848
2020-02-10T05:00:00.000Z,746,859
2020-02-17T05:00:00.000Z,749.6,867
2020-02-24T05:00:00.000Z,789.6,870
2020-03-03T05:00:00.000Z,744.2,889
2020-03-10T04:00:00.000Z,755.8,878
2020-03-17T04:00:00.000Z,760,839
2020-03-24T04:00:00.000Z,756.8,918
2020-03-31T04:00:00.000Z,730.8,957
2020-04-07T04:00:00.000Z,707.6,917
2020-04-14T04:00:00.000Z,723,914
2020-04-21T04:00:00.000Z,705,850
2020-04-28T04:00:00.000Z,679.6,764
2020-05-05T04:00:00.000Z,681,747
2020-05-12T04:00:00.000Z,639.6,753
2020-05-19T04:00:00.000Z,621.8,670
2020-05-26T04:00:00.000Z,633.8,636
2020-06-02T04:00:00.000Z,629.4,663
2020-06-09T04:00:00.000Z,630.2,663
2020-06-16T04:00:00.000Z,632,606
2020-06-23T04:00:00.000Z,615.6,629
2020-06-30T04:00:00.000Z,602.4,621
2020-07-07T04:00:00.000Z,588.2,648
2020-07-14T04:00:00.000Z,586.8,614
2020-07-21T04:00:00.000Z,604.2,605
2020-07-28T04:00:00.000Z,591.6,595
2020-08-04T04:00:00.000Z,586.6,660
2020-08-11T04:00:00.000Z,591,562
2020-08-18T04:00:00.000Z,577.6,647
