Date,Average 2015-2019,Septicemia
2020-01-06T05:00:00.000Z,839.4,710
2020-01-13T05:00:00.000Z,835,759
2020-01-20T05:00:00.000Z,806,718
2020-01-27T05:00:00.000Z,764.8,723
2020-02-03T05:00:00.000Z,799,672
2020-02-10T05:00:00.000Z,762.4,661
2020-02-17T05:00:00.000Z,731.6,682
2020-02-24T05:00:00.000Z,745.4,691
2020-03-03T05:00:00.000Z,743.2,703
2020-03-10T04:00:00.000Z,733,664
2020-03-17T04:00:00.000Z,724.6,658
2020-03-24T04:00:00.000Z,705.6,723
2020-03-31T04:00:00.000Z,714.8,763
2020-04-07T04:00:00.000Z,667.2,811
2020-04-14T04:00:00.000Z,697.2,737
2020-04-21T04:00:00.000Z,665.8,642
2020-04-28T04:00:00.000Z,639.2,617
2020-05-05T04:00:00.000Z,611.8,607
2020-05-12T04:00:00.000Z,615.2,601
2020-05-19T04:00:00.000Z,601.6,559
2020-05-26T04:00:00.000Z,604,599
2020-06-02T04:00:00.000Z,592.6,505
2020-06-09T04:00:00.000Z,590,634
2020-06-16T04:00:00.000Z,577.4,565
2020-06-23T04:00:00.000Z,584,549
2020-06-30T04:00:00.000Z,581.2,608
2020-07-07T04:00:00.000Z,604.8,592
2020-07-14T04:00:00.000Z,597.8,647
2020-07-21T04:00:00.000Z,599.2,589
2020-07-28T04:00:00.000Z,567.6,554
2020-08-04T04:00:00.000Z,585.8,577
2020-08-11T04:00:00.000Z,557,634
2020-08-18T04:00:00.000Z,588,583
