Date,Average 2015-2019,Unclassified
2020-01-06T05:00:00.000Z,554.4,579
2020-01-13T05:00:00.000Z,543.8,643
2020-01-20T05:00:00.000Z,528,644
2020-01-27T05:00:00.000Z,531.8,631
2020-02-03T05:00:00.000Z,518.4,648
2020-02-10T05:00:00.000Z,537.4,599
2020-02-17T05:00:00.000Z,521.2,683
2020-02-24T05:00:00.000Z,502.8,655
2020-03-03T05:00:00.000Z,502,752
2020-03-10T04:00:00.000Z,524.6,772
2020-03-17T04:00:00.000Z,510,732
2020-03-24T04:00:00.000Z,464.2,699
2020-03-31T04:00:00.000Z,485.4,755
2020-04-07T04:00:00.000Z,499.6,870
2020-04-14T04:00:00.000Z,475.6,819
2020-04-21T04:00:00.000Z,466.6,805
2020-04-28T04:00:00.000Z,489,885
2020-05-05T04:00:00.000Z,436.2,810
2020-05-12T04:00:00.000Z,449.6,912
2020-05-19T04:00:00.000Z,470.4,918
2020-05-26T04:00:00.000Z,450,1060
2020-06-02T04:00:00.000Z,446.4,1132
2020-06-09T04:00:00.000Z,470.8,1173
2020-06-16T04:00:00.000Z,450.6,1386
2020-06-23T04:00:00.000Z,459.4,1564
2020-06-30T04:00:00.000Z,475.6,1762
2020-07-07T04:00:00.000Z,481.6,1974
2020-07-14T04:00:00.000Z,442.6,2307
2020-07-21T04:00:00.000Z,487.2,2467
2020-07-28T04:00:00.000Z,460,2695
2020-08-04T04:00:00.000Z,461.4,2963
2020-08-11T04:00:00.000Z,436.8,3153
2020-08-18T04:00:00.000Z,466.4,3244
