Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1269.8,1299
2020-01-13T05:00:00.000Z,1289.6,1390
2020-01-20T05:00:00.000Z,1210.4,1315
2020-01-27T05:00:00.000Z,1260.6,1275
2020-02-03T05:00:00.000Z,1235.2,1264
2020-02-10T05:00:00.000Z,1221.6,1263
2020-02-17T05:00:00.000Z,1196.2,1310
2020-02-24T05:00:00.000Z,1191.6,1340
2020-03-03T05:00:00.000Z,1216,1352
2020-03-10T04:00:00.000Z,1231,1378
2020-03-17T04:00:00.000Z,1224.6,1349
2020-03-24T04:00:00.000Z,1184.2,1287
2020-03-31T04:00:00.000Z,1160,1323
2020-04-07T04:00:00.000Z,1174,1355
2020-04-14T04:00:00.000Z,1174,1401
2020-04-21T04:00:00.000Z,1131.4,1315
2020-04-28T04:00:00.000Z,1130,1383
2020-05-05T04:00:00.000Z,1106.2,1397
2020-05-12T04:00:00.000Z,1107.4,1425
2020-05-19T04:00:00.000Z,1075.2,1305
2020-05-26T04:00:00.000Z,1050.8,1287
2020-06-02T04:00:00.000Z,1089.4,1309
2020-06-09T04:00:00.000Z,1086,1397
2020-06-16T04:00:00.000Z,1071.6,1461
2020-06-23T04:00:00.000Z,1065.8,1545
2020-06-30T04:00:00.000Z,1086,1612
2020-07-07T04:00:00.000Z,1070.6,1769
2020-07-14T04:00:00.000Z,1043.4,1945
2020-07-21T04:00:00.000Z,1053.2,1975
2020-07-28T04:00:00.000Z,1052.4,1836
2020-08-04T04:00:00.000Z,1036,1774
2020-08-11T04:00:00.000Z,1026.6,1557
2020-08-18T04:00:00.000Z,1027.2,1495
